census_year,block_id,property_id,base_property_id,building_address,clue_small_area,business_address,trading_name,industry_code,industry_description,seating_type,number_of_seats,longitude,latitude
2020,1,611394,611394,545-557 Flinders Street MELBOURNE VIC 3000,Melbourne (CBD),553 Flinders Street MELBOURNE VIC 3000,Domino's Pizza,4512,Takeaway Food Services,Seats - Indoor,12,144.95651,-37.82098
2020,4,104034,104034,Flinders Street Railway Station 207-361 Flinders Street MELBOURNE VIC 3000,Melbourne (CBD),2 Flinders Walk MELBOURNE VIC 3000,Arbory Bar and Eatery,4511,Cafes and Restaurants,Seats - Outdoor,367,144.96578,-37.81868
2020,11,103957,103957,517-537 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),537 Flinders Lane MELBOURNE VIC 3000,Leap's Bakery Cafe,4512,Takeaway Food Services,Seats - Indoor,3,144.95649,-37.81988
2020,11,108972,108972,10-22 Spencer Street MELBOURNE VIC 3000,Melbourne (CBD),16 Spencer Street MELBOURNE VIC 3000,Best Western Melbourne City,4400,Accommodation,Seats - Indoor,40,144.95524,-37.82051
2020,12,110091,110091,15-33 William Street MELBOURNE VIC 3000,Melbourne (CBD),"Shop 3-4, 15 William Street MELBOURNE VIC 3000",Hudson's Coffee,4511,Cafes and Restaurants,Seats - Indoor,26,144.9592,-37.81929
2020,14,103171,103171,27-29 Elizabeth Street MELBOURNE VIC 3000,Melbourne (CBD),Ground 27-29 Elizabeth Street MELBOURNE VIC 3000,Nando's,4511,Cafes and Restaurants,Seats - Indoor,84,144.96437,-37.81755
2020,14,108114,108114,28-38 Queen Street MELBOURNE VIC 3000,Melbourne (CBD),"Shop 2, Ground 34 Queen Street MELBOURNE VIC 3000",Cafe 34,4511,Cafes and Restaurants,Seats - Outdoor,16,144.96244,-37.81799
2020,15,103940,103940,241-243 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),5 Scott Alley MELBOURNE VIC 3000,Roule Galette,4512,Takeaway Food Services,Seats - Outdoor,10,144.9663,-37.81686
2020,15,104010,104010,The Empire Apartments 256-268 Flinders Street MELBOURNE VIC 3000,Melbourne (CBD),15 Degraves Street MELBOURNE VIC 3000,Grill'd,4511,Cafes and Restaurants,Seats - Outdoor,84,144.96563,-37.81761
2020,15,104011,104011,250-254 Flinders Street MELBOURNE VIC 3000,Melbourne (CBD),12 Degraves Street MELBOURNE VIC 3000,Metro Burgers,4512,Takeaway Food Services,Seats - Indoor,24,144.966,-37.81752
2020,17,104026,104026,104-112 Flinders Street MELBOURNE VIC 3000,Melbourne (CBD),19 ACDC Lane MELBOURNE VIC 3000,Pastuso,4511,Cafes and Restaurants,Seats - Indoor,170,144.97116,-37.81601
2020,17,107003,107003,10-20 Oliver Lane MELBOURNE VIC 3000,Melbourne (CBD),12 Oliver Lane MELBOURNE VIC 3000,Bowery to Williamsburg,4511,Cafes and Restaurants,Seats - Indoor,20,144.9703,-37.81614
2020,18,103914,103914,31-35 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),Level 3 31 Flinders Lane MELBOURNE VIC 3000,Fonda Flinders Lane,4511,Cafes and Restaurants,Seats - Indoor,140,144.97329,-37.8149
2020,18,103918,103918,61-73 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),61 Flinders Lane MELBOURNE VIC 3000,Cecconi's Flinders Lane,4511,Cafes and Restaurants,Seats - Outdoor,12,144.97251,-37.81506
2020,18,103919,103919,75-77 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),"Shop 2, Ground 40 Exhibition Street MELBOURNE VIC 3000",Eastside,4511,Cafes and Restaurants,Seats - Indoor,10,144.97224,-37.81515
2020,23,102095,102095,401-403 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Part Ground 401 Collins Street MELBOURNE VIC 3000,Natural History Bar & Grill,4511,Cafes and Restaurants,Seats - Outdoor,26,144.96121,-37.81738
2020,24,110765,110765,302-308 Flinders Lane MELBOURNE VIC 3000,Melbourne (CBD),12 Bligh Place MELBOURNE VIC 3000,Robot Sushi & Bar,4511,Cafes and Restaurants,Seats - Indoor,40,144.96391,-37.81719
2020,25,102079,102079,221-231 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),"Shop 6, Ground 227 Collins Street MELBOURNE VIC 3000",Three Drops Espresso,4511,Cafes and Restaurants,Seats - Outdoor,25,144.96633,-37.81584
2020,26,109418,109418,199-209 Collins Street MELBOURNE VIC 3000,Melbourne (CBD),Part 205 Collins Street MELBOURNE VIC 3000,Allegro Restaurant,4511,Cafes and Restaurants,Seats - Indoor,75,144.96743,-37.81581
